share_corona_pre,share_others_pre,share_corona_post,share_others_post,countries
0.0,0.0007203582999544122,0.0005026599086834499,0.0006711488558622317,Estonia
0.0,0.00040367904731744835,0.0011449475697789693,0.00045529606039160177,Kuwait
0.0,0.00023431944700610507,0.0002164230162387076,0.00024298183533852323,Belarus
0.0,0.0005057588064092169,0.0002792555048241388,0.00043288511441377683,Iceland
0.0,0.0002783993429775506,0.0003351066057889666,0.0002412125501297476,Mali
0.0,0.0003955590664806031,0.0012147614459850039,0.000491861288039632,Oman
0.0,7.887981384363933e-05,0.0002164230162387076,0.00012326020287803727,Yemen
0.0,0.00027955934023995706,0.0005166226839246568,0.00025123849964614296,Cuba
0.0,0.00012295970981508484,0.0002583113419623284,0.0001338759141306912,Guinea
0.0011402508551881414,0.0001299196933895236,0.00016057191527387983,0.00011795234725171031,Madagascar
0.0,0.00019951952913391125,0.0001466091400326729,0.0001680820948336872,Benin
0.0011402508551881414,0.0005428787188062236,0.0013543891983970734,0.0005767869780608634,Ecuador
0.0,0.00025519939772942135,0.000726064312542761,0.0002836753951403633,Sudan
0.0,0.00016007962221209157,8.377665144724166e-05,0.0001474404340646379,Mongolia
0.0,0.00022619946616925983,0.0005236040715452604,0.0002176220806794055,Venezuela
0.0,0.00016935960031134325,0.00017453469051508677,0.00017221042698749704,Armenia
0.002280501710376283,0.0006832383875574054,0.0027925550482413883,0.0007189195564991744,Philippines
0.0,0.00011251973445342669,0.00027227411720353537,0.00011618306204293466,Democratic Republic of the Congo
0.0,0.00016471961126171742,0.00039095770675379437,0.000148619957537155,Malta
0.0,0.000103239756354175,0.00020944162861810415,0.000114413776834159,Albania
0.0,2.3199945248129215e-06,0.0,5.897617362585515e-06,Turkmenistan
0.0,0.00036075914860840926,0.0003979390943743979,0.00039867893371078086,Malawi
0.0,8.815979194289102e-05,5.585110096482777e-05,8.256664307619721e-05,Monaco
0.0,5.799986312032304e-06,9.075803906784512e-05,1.3564519933946685e-05,Liechtenstein
0.0,3.7119912397006744e-05,4.188832572362083e-05,3.479594243925454e-05,Chad
0.0,4.871988502107135e-05,9.773942668844859e-05,6.959188487850908e-05,Uzbekistan
0.0,0.00028419932928958286,0.00032812521816836317,0.0002618542108987969,Burkina Faso
0.0,7.075983300679411e-05,9.773942668844859e-05,4.600141542816702e-05,Niger
0.0,7.539982205641995e-05,9.773942668844859e-05,6.605331446095777e-05,Azerbaijan
0.0,7.075983300679411e-05,0.00018849746575629373,0.00010261854210898797,North Macedonia
0.0,6.611984395716826e-05,0.0001675533028944833,8.492569002123143e-05,Dominican Republic
0.0,0.00018095957293540787,0.00016057191527387983,0.00015864590705355036,Cambodia
0.0,2.2039947985722755e-05,2.0944162861810414e-05,3.420618070299599e-05,Saint Kitts and Nevis
0.0,4.0599904184226124e-05,3.490693810301735e-05,2.300070771408351e-05,Macao
0.0,1.9719953460909833e-05,9.075803906784512e-05,2.359046945034206e-05,Somalia
0.0,6.959983574438764e-06,4.188832572362083e-05,1.887237556027365e-05,San Marino
0.0,2.0879950723316294e-05,3.490693810301735e-05,1.887237556027365e-05,Central African Republic
0.0011402508551881414,7.539982205641995e-05,0.00010472081430905207,7.902807265864591e-05,Mauritius
0.0,8.699979468048456e-05,0.00016057191527387983,6.664307619721632e-05,Fiji
0.0,1.3919967148877528e-05,1.3962775241206943e-05,1.2974758197688134e-05,Curacao
0.0,1.9719953460909833e-05,5.585110096482777e-05,1.0025949516395377e-05,Republic of the Congo
0.0,9.047978646770394e-05,9.075803906784512e-05,8.728473696626563e-05,Namibia
0.0,6.379984943235534e-05,9.773942668844859e-05,7.018164661476763e-05,Togo
0.0,5.683986585791658e-05,0.0001466091400326729,7.254069355980184e-05,Brunei
0.0,3.7119912397006744e-05,0.00010472081430905207,4.187308327435716e-05,Barbados
0.0,0.0002296794579564792,0.00020944162861810415,0.00025241802311866006,Czechia
0.0,2.8999931560161517e-05,3.490693810301735e-05,1.3564519933946685e-05,Guyana
0.0,0.00011251973445342669,0.0002443485667211215,0.00012149091766926162,Gambia
0.0,5.103987954588427e-05,6.283248858543124e-05,4.600141542816702e-05,Moldova
0.0,5.91598603827295e-05,0.0003420879934095701,7.843831092238736e-05,Libya
0.0,1.623996167369045e-05,4.8869713344224296e-05,1.179523472517103e-05,Guadeloupe
0.0,7.771981658123287e-05,0.00030019966768594924,0.00017103090351497995,Syria
0.0,1.2759969886471067e-05,0.0,1.4154281670205237e-05,Belize
0.0,8.119980836845225e-06,4.188832572362083e-05,9.436187780136825e-06,Andorra
0.0,3.7119912397006744e-05,4.188832572362083e-05,5.72068884170795e-05,Kyrgyzstan
0.0,0.00013803967422636884,0.00020944162861810415,0.00014154281670205238,Botswana
0.0,3.7119912397006744e-05,6.981387620603471e-06,2.8308563340410474e-05,Tajikistan
